Date,Open,High,Low,Close,Adj Close,Volume
2023-04-11,75.426971,75.786110,74.924179,74.948128,74.752441,6663078
2023-04-12,75.227455,75.554672,74.868317,75.099762,74.903679,8768118
2023-04-13,75.323227,75.570633,74.596970,75.259377,75.062874,11044694
2023-04-14,74.908218,76.328812,74.868317,76.169197,75.970322,7211767
2023-04-17,76.312851,77.294495,76.201118,77.230644,77.028999,7676003
2023-04-18,77.414207,78.627296,77.302475,78.587387,78.382202,8909832
2023-04-19,78.675179,79.257782,78.547485,79.034317,78.827965,7038101
2023-04-20,79.249802,80.183556,79.058258,79.616920,79.409042,8661237
2023-04-21,79.792496,79.872307,79.114128,79.417397,79.210037,5112741
2023-04-24,79.473267,80.422981,79.473267,79.928169,79.719482,7833505
2023-04-25,81.364723,81.412613,77.853149,78.563446,78.358315,11649768
2023-04-26,78.395851,78.571426,76.687950,76.783722,76.583244,8032357
2023-04-27,77.430168,78.363930,77.094971,78.260178,78.055840,9348633
2023-04-28,77.517960,79.584999,77.318436,78.986435,78.780205,6279159
2023-05-01,79.401436,81.404633,79.305664,80.750198,80.539368,7408237
2023-05-02,80.295288,81.428574,79.960098,81.013565,80.802048,7485046
2023-05-03,81.308861,82.162811,80.853951,81.221069,81.009003,5917543
2023-05-04,80.997604,81.205109,77.741425,79.265762,79.058807,9055431
2023-05-05,80.271347,81.213089,79.608940,80.000000,79.791122,6302841
2023-05-08,79.984039,80.694336,79.984039,80.542702,80.332405,4282128
2023-05-09,80.422981,81.324821,80.422981,80.606544,80.396088,6520737
2023-05-10,80.989624,81.141258,78.579407,79.441338,79.233917,5053224
2023-05-11,79.329613,79.792496,78.866722,79.417397,79.210037,5117628
2023-05-12,79.473267,79.808456,77.980843,78.850761,78.644890,4332874
2023-05-15,79.122108,81.652039,79.026337,81.404633,81.192085,7973716
2023-05-16,80.790108,81.588188,80.518753,80.710297,80.499557,5523851
2023-05-17,81.300880,82.665604,81.045494,82.577812,82.362206,6871703
2023-05-18,82.114922,83.224258,81.189148,83.008781,82.792046,5772320
2023-05-19,83.415802,84.421387,82.873108,83.208298,82.991043,7230687
2023-05-22,83.080605,84.549080,83.080605,83.439743,83.221886,4996087
2023-05-23,82.889069,83.112534,80.830009,81.165207,80.953285,5738239
2023-05-24,80.830009,80.981644,79.736633,80.590584,80.380165,6275400
2023-05-25,80.925781,81.476456,80.239426,81.021545,80.810005,6737506
2023-05-26,81.077415,82.960892,81.053474,81.995209,81.781128,6796523
2023-05-30,82.218674,82.258575,80.335197,81.723862,81.510483,7098370
2023-05-31,80.861931,81.276932,79.577019,81.029526,80.817963,13358734
2023-06-01,80.774139,83.934555,80.662407,83.535515,83.317406,7797043
2023-06-02,84.197922,85.163605,83.431763,84.437347,84.216881,7477278
2023-06-05,84.437347,84.437347,83.080605,83.080605,82.863686,5108732
2023-06-06,83.264168,84.684753,83.080605,84.166000,83.946243,7794036
2023-06-07,85.107742,85.658417,84.309654,84.660812,84.439766,9121088
2023-06-08,84.469276,85.570633,84.301674,84.652832,84.431801,4477596
2023-06-09,84.828415,85.035912,83.862732,84.836395,84.614891,4365076
2023-06-12,84.844376,85.307266,84.317635,84.780525,84.559166,4677449
2023-06-13,84.620911,85.514763,84.445328,85.187553,84.965126,5411582
2023-06-14,85.171585,85.235435,82.968872,83.559456,83.341286,6429268
2023-06-15,83.351952,84.309654,82.992821,84.126099,83.906448,8733159
2023-06-16,84.557060,86.911415,84.549080,84.828415,84.606934,13731752
2023-06-20,84.660812,84.764565,82.529930,83.016762,82.800003,8068443
2023-06-21,82.713486,84.349564,82.665604,83.838783,83.619881,5983576
2023-06-22,83.527534,84.429367,83.511574,83.655228,83.436806,5292046
2023-06-23,82.274544,83.296089,81.915405,82.825218,82.608963,7532911
2023-06-26,82.625694,83.886673,82.490021,83.359940,83.142288,5326378
2023-06-27,83.503593,83.966476,83.288109,83.735039,83.516411,5973427
